iter	Passed	Remaining
474	685	757
475	687	756
476	688	754
477	689	753
478	690	751
479	691	749
480	692	747
481	693	745
482	694	743
483	697	743
484	698	741
485	699	739
486	700	738
487	702	736
488	703	734
489	704	733
490	705	731
491	707	730
492	708	728
493	709	726
494	711	725
495	712	723
496	713	721
497	714	720
498	715	718
499	716	716
500	717	714
501	718	712
502	719	711
503	720	709
504	721	707
505	722	705
506	723	703
507	724	702
508	727	701
509	728	699
510	729	698
511	730	696
512	731	694
513	732	692
514	734	691
515	735	689
516	736	687
517	737	686
518	738	684
519	739	682
520	742	682
521	743	680
522	744	679
523	745	677
524	746	675
525	747	673
526	748	672
527	749	670
528	750	668
529	751	666
530	752	664
531	753	663
532	755	661
533	757	661
534	758	659
535	760	657
536	761	656
537	762	654
538	763	652
539	764	650
540	765	649
541	766	647
542	767	645
543	768	644
544	769	642
545	770	640
546	772	640
547	773	638
548	774	636
549	775	634
550	776	632
551	777	631
552	778	629
553	779	627
554	780	626
555	781	624
556	782	622
557	783	620
558	784	619
559	787	618
560	788	617
561	789	615
562	790	613
563	791	612
564	792	610
565	793	608
566	794	607
567	796	605
568	797	603
569	798	602
570	799	600
571	800	598
572	803	598
573	804	597
574	806	595
575	807	594
576	808	592
577	809	590
578	810	589
579	811	587
580	812	585
581	813	584
582	814	582
583	815	580
584	818	580
585	819	578
586	820	577
587	821	575
588	822	573
589	823	572
590	824	570
591	825	568
592	826	566
593	827	565
594	828	563
595	829	562
596	830	560
597	832	559
598	834	558
599	835	556
600	836	555
601	837	553
602	838	552
603	839	550
604	840	548
605	841	547
606	842	545
607	844	544
608	845	542
609	846	541
610	848	540
611	850	538
612	851	537
613	851	535
614	853	534
615	854	532
616	855	530
617	855	529
618	857	527
619	858	525
620	859	524
621	860	522
622	863	522
623	864	520
624	865	519
625	866	517
626	867	515
627	868	514
628	869	512
629	870	511
630	871	509
631	872	508
632	873	506
633	874	504
634	875	503
635	879	503
636	880	501
637	881	500
638	882	498
639	883	496
640	884	495
641	885	493
642	886	492
643	887	490
644	888	488
645	889	487
646	890	485
647	891	484
648	893	483
649	894	481
650	895	480
651	896	478
652	897	477
653	898	475
654	899	473
655	900	472
656	901	470
657	902	469
658	903	467
659	904	466
660	905	464
661	908	463
662	909	462
663	910	460
664	912	459
665	913	457
666	914	456
667	915	454
668	916	453
669	917	451
670	918	450
671	919	448
672	920	447
673	924	447
674	925	445
675	926	443
676	927	442
677	928	440
678	929	439
679	930	437
680	931	436
681	932	434
682	933	433
683	934	431
684	935	430
685	939	429
686	940	428
687	942	427
688	943	426
689	944	424
690	946	423
691	947	421
692	948	420
693	949	418
694	951	417
695	953	416
696	954	415
697	955	413
698	957	412
699	958	410
700	959	409
701	960	407
702	961	406
703	962	404
704	963	402
705	964	401
706	965	400
707	966	398
708	968	397
709	969	396
710	970	394
711	971	393
712	972	391
713	973	390
714	974	388
715	975	387
716	976	385
717	977	384
718	978	382
719	979	381
720	981	379
721	982	378
722	984	377
723	985	375
724	986	374
725	987	372
726	988	371
727	989	369
728	990	368
729	991	366
730	992	365
731	993	363
732	994	362
733	995	360
734	997	359
735	999	358
736	1000	357
737	1001	355
738	1003	354
739	1004	352
740	1005	351
741	1006	349
742	1007	348
743	1008	347
744	1009	345
745	1010	344
746	1014	343
747	1015	342
748	1016	340
749	1017	339
750	1018	337
751	1019	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1026	325
759	1028	324
760	1030	323
761	1031	322
762	1032	320
763	1033	319
764	1034	317
765	1035	316
766	1036	314
