iter	RMSE
0	0.4565880379
1	0.453876433
2	0.4509275863
3	0.4477871837
4	0.4449484613
5	0.4418399836
6	0.4398778878
7	0.4369708514
8	0.434312615
9	0.4319374263
10	0.4298616205
11	0.427311995
12	0.4253565352
13	0.4227313097
14	0.4198467171
15	0.4177169243
16	0.4144993733
17	0.4117489438
18	0.4090788339
19	0.406290729
20	0.4051682281
21	0.4028486592
22	0.4010246629
23	0.3980099687
24	0.3958135013
25	0.3942661286
26	0.3923178619
27	0.390847181
28	0.3888553311
29	0.3866264834
30	0.3847370976
31	0.3825811527
32	0.3802971174
33	0.3778943008
34	0.3753789804
35	0.3738888806
36	0.37192167
37	0.3707184322
38	0.3684101515
39	0.3669971226
40	0.3652149512
41	0.3630411088
42	0.3617345112
43	0.3594884543
44	0.3581935212
45	0.3573420765
46	0.3557568715
47	0.3547358716
48	0.3530259619
49	0.3505707678
50	0.349484147
51	0.3483732619
52	0.3467360339
53	0.3450131289
54	0.3434569541
55	0.3427200847
56	0.3406465704
57	0.3390220829
58	0.3371424765
59	0.3354508162
60	0.3344455103
61	0.3330342032
62	0.331125988
63	0.3296811432
64	0.32873102
65	0.3277841657
66	0.3258252061
67	0.3247135616
68	0.3233052689
69	0.3221423309
70	0.3208355877
71	0.3191555318
72	0.3178742588
73	0.3161656728
74	0.3152360506
75	0.3140011115
76	0.3127961402
77	0.3112545358
78	0.3099405887
79	0.3093766625
80	0.3086624625
81	0.307362825
82	0.3063370761
83	0.3048152862
84	0.3035086283
85	0.3028278091
86	0.3017654651
87	0.3005977302
88	0.3002007324
89	0.299085441
90	0.297599277
91	0.2966246902
92	0.2956833445
93	0.2949824691
94	0.2937767914
95	0.2928964376
96	0.2921026164
97	0.2912375074
98	0.2899559402
99	0.288720672
100	0.2865390987
101	0.2854570053
102	0.2844929944
103	0.2833301727
104	0.2827627172
105	0.2822489591
106	0.2815528074
107	0.2811823831
108	0.28056372
109	0.2791005237
110	0.2777003646
111	0.2767659629
112	0.2758677924
113	0.2750578504
114	0.2736590773
115	0.2725835938
116	0.2715854256
117	0.2707049136
118	0.2694397311
119	0.268744781
120	0.2680657102
121	0.2674561287
122	0.2666079733
123	0.2650366096
124	0.2638326864
125	0.2627051573
126	0.2620290386
127	0.2614324682
128	0.2607898405
129	0.259613492
130	0.2586065812
131	0.2576923836
132	0.2565561384
133	0.2560946148
134	0.2552437808
135	0.2543121849
136	0.2535153035
137	0.2521823116
138	0.2517783024
139	0.2510443384
140	0.2504768469
141	0.2495969755
142	0.2484415845
143	0.2478105443
144	0.2467825799
145	0.2461169024
146	0.2454574594
147	0.2451029093
148	0.2447534008
149	0.2436068976
150	0.2424558297
151	0.241530005
152	0.2406527647
153	0.239721241
154	0.2392989659
155	0.2383821846
156	0.2372204744
157	0.2365571186
158	0.2360983898
159	0.2355645637
160	0.234837
161	0.2341582382
162	0.2331952469
163	0.2328075219
164	0.2326370291
165	0.2323233105
166	0.2312548345
167	0.2305531709
168	0.2292937
169	0.2288056025
170	0.2280834317
171	0.2271522266
172	0.2267808188
173	0.2262699196
174	0.2253798294
175	0.2240018341
176	0.2237453437
177	0.2229498654
178	0.2217222104
179	0.2210319175
180	0.2199952741
181	0.2196089384
182	0.218715835
183	0.2180896631
184	0.2177596713
185	0.2170005166
186	0.2162316138
187	0.2158738125
188	0.2148015849
189	0.2140476187
190	0.2132232013
191	0.2121850733
192	0.2117467001
193	0.2112908112
194	0.2110191311
195	0.2103560718
196	0.2089931348
197	0.2086721607
198	0.208155641
199	0.2076008314
200	0.20690068
201	0.2062782489
202	0.2053976349
203	0.205182087
204	0.2043198471
205	0.2034424298
206	0.2028965913
207	0.2019329379
208	0.2015576384
209	0.2010718029
210	0.2008343628
211	0.1997021469
212	0.1988092238
213	0.1980480926
214	0.197254611
215	0.1967939904
216	0.1963212061
217	0.1953881978
218	0.1946171825
219	0.1936222302
220	0.1933430314
221	0.1931592194
222	0.1922997757
223	0.191739092
224	0.190779516
225	0.1906194412
226	0.1896022372
227	0.1894028474
228	0.1889018828
229	0.1877438201
230	0.187073286
231	0.1868888698
232	0.1867507674
233	0.1861734374
234	0.1853152453
235	0.1843736529
236	0.1841766768
237	0.1837648302
238	0.1828437123
239	0.1818138069
240	0.1817233995
241	0.1811950337
242	0.181025555
243	0.1807282794
244	0.1801825175
245	0.1800278786
246	0.1799073475
247	0.1797714591
248	0.1793717018
249	0.1792905065
250	0.1792186476
251	0.179038229
252	0.1789639129
253	0.1788889017
254	0.1787885106
255	0.178711694
256	0.1781810532
257	0.1773876338
258	0.1772769502
259	0.1763089185
260	0.1762028728
261	0.1759211431
262	0.1758035794
263	0.175080585
264	0.1747776414
265	0.1746694081
266	0.1745359852
267	0.1744551358
268	0.1738795162
269	0.1737221326
270	0.1731246821
271	0.1724367884
272	0.1722439774
273	0.1712585229
274	0.1706509895
275	0.1705123989
276	0.1699244785
277	0.1698313791
278	0.1697622597
